original,translation,phonetics,format,notes
מָה־אָשִׁיב / SALMO 116:12-19,MA ASHIV / SALMO 116:12-19,,part,
"Fuente: Sefaria, The Metsudah siddur: a new linear siddur with English translation by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente: Sefaria, The Metsudah siddur: a new linear siddur with English translation by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
מָה־אָשִׁיב,¿Qué devolveré,ma ashiv,,
לַיהֹוָה,a Adonai,la-Adonai,,
כָּל־תַּגְמוּלֽוֹהִי,por todos Sus beneficios,kol tagmulohi,,
עָלָי:,[que están] sobre mí?,alai,,
,,,break,
כּוֹס־יְשׁוּעוֹת,La copa de salvaciones,kos yeshuot,,
אֶשָּׂא,alzaré,esa,,
וּבְשֵׁם יְהֹוָה,y en el nombre de Adonai,u-ve-shem Adonai,,
אֶקְרָא:,llamaré.,ekra,,
,,,break,
נְדָרַי,Mis votos,nedarai,,
לַיהֹוָה,a Adonai,la-Adonai,,
אֲשַׁלֵּם,cumpliré,ashalem,,
נֶגְדָה־נָּא,ahora [lo haré] delante de,negda na,,
לְכָל־עַמּוֹ:,todo Su pueblo.,le-khol amo,,
,,,break,
יָקָר,Preciosa,yakar,,
בְּעֵינֵי יְהֹוָה,a los ojos de Adonai,be-einei Adonai,,
הַמָּֽוְתָה לַחֲסִידָיו:,es la muerte de Sus piadosos.,ha-mavta la-jasidav,,
,,,break,
אָנָּה יְהֹוָה,"Por favor, Adonai",ana Adonai,,
כִּי־אֲנִי,pues yo,ki ani,,
עַבְדֶּֽךָ,[soy] Tu siervo,avdeja,,
אֲנִי־עַבְדְּךָ,yo [soy] Tu siervo,ani avdeja,,
בֶּן־אֲמָתֶֽךָ,hijo de Tu sierva,ben amateja,,
פִּתַּֽחְתָּ לְמוֹסֵרָי:,has desatado mis ataduras.,pitajta le-moserai,,
,,,break,
לְךָ־אֶזְבַּח,A Ti ofreceré,leja ezbaj,,
זֶֽבַח תּוֹדָה,un sacrificio de agradecimiento,zevaj toda,,
וּבְשֵׁם יְהֹוָה,y en el nombre de Adonai,u-ve-shem Adonai,,
אֶקְרָא:,llamaré.,ekra,,
,,,break,
נְדָרַי,Mis votos,nedarai,,
לַיהֹוָה,a Adonai,la-Adonai,,
אֲשַׁלֵּם,cumpliré,ashalem,,
נֶגְדָה־נָּא,ahora [lo haré] delante de,negda na,,
לְכָל־עַמּוֹ:,todo Su pueblo.,le-khol amo,,
,,,break,
בְּחַצְרוֹת,en los atrios,be-jatzrot,,
בֵּית יְהֹוָה,de la Casa de Adonai,beit Adonai,,
בְּתוֹכֵֽכִי,en medio de ti,be-tojeji,,
יְרוּשָׁלָֽםִ,Jerusalén,Yerushalayim,,
הַלְלוּיָהּ:,Haleluya.,haleluya,,
