original,translation,phonetics,format,notes
יָהּ רִבּוֹן,YAH RIBON,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יָהּ,Yah,Yah,,
רִבּוֹן,Señor,ribon,,
עָלַם וְעָלְמַיָּא.,del mundo y de los mundos.,alam ve-almaya,,
אַנְתְּ הוּא,Tú eres,ant hu,,
מַלְכָּא,"el Rey,",malka,,
מֶֽלֶךְ מַלְכַיָּא.,Rey de los reyes.,melekh malkhaya,,
,,,break,
עוֹבַד גְבוּרְתֵּךְ,Las obras de Tu poder,ovad gevurtekh,,
וְתִמְהַיָּא.,"y Tus maravillas,",ve-timhayya,,
שְׁפַר קֳדָמָךְ,[es] apropiado ante Ti,shefar kodamakh,,
לְהַחֲוָיָא:,declararlas:,le-hachavaya,,
,,,break,
יָהּ רִבּוֹן,"Yah, Señor",Yah ribon,,
עָלַם וְעָלְמַיָּא.,del mundo y de los mundos.,alam ve-almaya,,
אַנְתְּ הוּא,Tú eres,ant hu,,
מַלְכָּא,"el Rey,",malka,,
מֶֽלֶךְ מַלְכַיָּא:,Rey de los reyes.,melekh malkhaya,,
,,,break,
שְׁבָחִין אֲסַדֵּר,Alabanzas ordenaré,shevachin asader,,
צַפְרָא וְרַמְשָׁא.,por la mañana y por la tarde.,tzafra ve-ramsha,,
לָךְ,"para Ti,",lakh,,
אֱלָהָא קַדִּישָׁא.,"Dios santo,",Elaha kadisha,,
דִּי בְרָא,que creó,di vera,,
כָּל נַפְשָׁא.,toda alma.,kol nafsha,,
עִירִין קַדִּישִׁין,ángeles santos,irin kadishin,,
וּבְנֵי אֱנָשָׁא.,"y seres humanos,",u-venei enasha,,
חֵיוַת בְּרָא,bestias del campo,cheivat bera,,
וְעוֹפֵי שְׁמַיָּא.,y aves de los cielos.,ve-ofei shemayya,,
,,,break,
יָהּ רִבּוֹן,"Yah, Señor",Yah ribon,,
עָלַם וְעָלְמַיָּא.,del mundo y de los mundos.,alam ve-almaya,,
אַנְתְּ הוּא,Tú eres,ant hu,,
מַלְכָּא,"el Rey,",malka,,
מֶֽלֶךְ מַלְכַיָּא:,Rey de los reyes.,melekh malkhaya,,
,,,break,
רַבְרְ֒בִין עוֹבְ֒דֵךְ,Grandes son Tus obras,ravrevin ovdekh,,
וְתַקִּיפִין.,y poderosas.,ve-takifin,,
מָכִיךְ רָמַיָּא,Humillas a los altivos,makhikh ramayya,,
וְזַקִּיף כְּפִיפִין.,y enderezas a los encorvados.,ve-zakif kefifin,,
לוּ יִחְיֶה גְבַר,Si viviera un hombre,lu yichye gevar,,
שְׁנִין אַלְפִין.,"mil años,",shenin alfin,,
