original,translation,phonetics,format,notes
מִזְמוֹר לְתוֹדָה / SALMO 100,MIZMOR LETODA / SALMO 100,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Indicación litúrgica: se dice con melodía; no se dice en Shabat, Yom Tov, durante Pesaj ni en la víspera de Pesaj.",,,intro,
מִזְמוֹר לְתוֹדָה,Salmo de agradecimiento,mizmor le-toda,,
הָרִיעוּ,Aclamen,hariu,,
לַיהוָֹה,a Adonai,la-Adonai,,
כָּל־הָאָרֶץ:,toda la tierra.,kol ha-aretz,,
עִבְדוּ,Sirvan,ivdu,,
אֶת יְהֹוָה,a Adonai,et Adonai,,
בְּשִׂמְחָה,con alegría,be-simcha,,
בֹּאוּ,entren,bo'u,,
לְפָנָיו,ante Su presencia,lefanav,,
בִּרְנָנָה:,con canto jubiloso.,birnana,,
דְּעוּ,Sepan,de'u,,
כִּי־יְהֹוָה,que Adonai,ki Adonai,,
הוּא אֱלֹהִים,Él [es] Dios,hu Elohim,,
הוּא,Él,hu,,
עָשָׂנוּ,nos hizo,asanu,,
וְלוֹ (וְלֹא) אֲנַחְנוּ,y [somos] Suyos (y no [de] nosotros mismos),ve-lo (ve-lo) anachnu,,
עַמּוֹ,Su pueblo,amo,,
וְצֹאן מַרְעִיתוֹ:,y rebaño de Su pastoreo.,ve-tzon mar'ito,,
בֹּאוּ,Entren,bo'u,,
שְׁעָרָיו,en Sus portones,she'arav,,
בְּתוֹדָה,con agradecimiento,be-toda,,
חֲצֵרֹתָיו,[entren en] Sus atrios,chatzrotav,,
בִּתְהִלָּה,con alabanza,bi-tehila,,
הוֹדוּ לוֹ,denle gracias,hodu lo,,
בָּרְכוּ שְׁמוֹ:,bendigan Su nombre.,barchu shemo,,
כִּי־טוֹב יְהֹוָה,Porque Adonai [es] bueno,ki tov Adonai,,
לְעוֹלָם חַסְדּוֹ,Su bondad [es] para siempre,le-olam chasdo,,
וְעַד־דֹּר וָדֹר אֱמוּנָתוֹ:,y Su fidelidad [permanece] por generación y generación.,ve-ad dor va-dor emunato,,
