original,translation,phonetics,format,notes
יְדִיד נֶפֶשׁ,YEDID NEFESH,,part,
"Fuente auxiliar: Sefaria, The Metsudah Siddur, Metsudah Publications, 1981 - HE, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah Siddur, Metsudah Publications, 1981 - HE, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, The Metsudah Siddur, Metsudah Publications, 1981 - EN, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah Siddur, Metsudah Publications, 1981 - EN, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְדִיד נֶֽפֶשׁ,Amado [del] alma,Yedid nefesh,,
אָב הָרַחֲמָן.,"Padre misericordioso,",Av ha-rachaman,,
מְשׁוֹךְ,Atrae,meshukh,,
עַבְדְּ֒ךָ,a Tu siervo,avdekha,,
אֶל רְצוֹנֶֽךָ.,hacia Tu voluntad.,el retzonekha,,
יָרוּץ,Correrá,yarutz,,
עַבְדְּ֒ךָ,Tu siervo,avdekha,,
כְּמוֹ אַיָּל,como [un] ciervo,kemo ayal,,
יִשְׁתַּחֲוֶה,se postrará,yishtachaveh,,
אֶל מוּל,frente [a],el mul,,
הֲדָרֶֽךָ.,Tu esplendor.,hadarekha,,
יֶעֱרַב,Será dulce,ye'erav,,
לוֹ,para él,lo,,
יְדִידוֹתֶֽיךָ.,Tu amor.,yedidotekha,,
מִנֹּֽפֶת צוּף,más que [el] néctar [del] panal,mi-nofet tzuf,,
וְכָל טָֽעַם:,y todo sabor:,ve-khol ta'am,,
,,,break,
הָדוּר,Espléndido,Hadur,,
נָאֶה,"Bello,",na'eh,,
זִיו הָעוֹלָם.,resplandor [del] mundo.,ziv ha-olam,,
נַפְשִׁי,Mi alma,nafshi,,
חוֹלַת,está enferma [de],cholat,,
אַהֲבָתֶֽךָ.,Tu amor.,ahavatekha,,
אָֽנָּא,Por favor,ana,,
אֵל,Dios,El,,
נָא,por favor,na,,
רְפָא,sana,refa,,
נָא,por favor,na,,
לָהּ.,[a] ella.,lah,,
בְּהַרְאוֹת לָהּ,al mostrarle,be-har'ot lah,,
נֹֽעַם זִיוֶֽךָ.,la dulzura [de] Tu resplandor.,noam zivekha,,
אָז,Entonces,az,,
תִּתְחַזֵּק,se fortalecerá,titchazek,,
וְתִתְרַפֵּא.,y será sanada.,ve-titrapei,,
וְהָיְ֒תָה,y será,ve-hayeta,,
לָהּ,para ella,lah,,
שִׂמְחַת עוֹלָם:,alegría eterna:,simchat olam,,
,,,break,
וָתִיק,Antiguo,Vatik,,
יֶהֱמוּ,se conmoverán,yehemu,,
נָא,por favor,na,,
רַחֲמֶֽיךָ,Tus misericordias,rachamekha,,
וְחֽוּסָה,y ten piedad,ve-chusa,,
נָא,por favor,na,,
עַל בֵּן,[de] hijo,al ben,,
אֲהוּבֶֽךָ.,Tu amado.,ahuvekha,,
כִּי,Pues,ki,,
זֶה כַּמָּה,desde hace tanto,zeh kama,,
נִכְסוֹף נִכְסַפְתִּי,he anhelado intensamente,nikhsof nikhsafti,,
לִרְאוֹת,ver,lirot,,
מְהֵרָה,pronto,mehera,,
בְּתִפְאֶֽרֶת עֻזֶּֽךָ.,[la] gloria [de] Tu fuerza.,be-tiferet uzekha,,
אֵֽלֶּה,Esto,eleh,,
חָמְ֒דָה,ha deseado,chamda,,
לִבִּי,mi corazón,libi,,
וְחֽוּסָה,y ten piedad,ve-chusa,,
נָא,por favor,na,,
וְאַל,y no,ve-al,,
תִּתְעַלֵּם:,te ocultes:,tit'alem,,
,,,break,
הִגָּלֶה,Revélate,higaleh,,
נָּא,por favor,na,,
וּפְרוֹס,y extiende,u-fros,,
חֲבִיבִי,mi Amado,chavivi,,
עָלַי,sobre mí,alai,,
אֶת סֻכַּת,[la] morada [de],et sukkat,,
שְׁלוֹמֶֽךָ.,Tu paz.,shelomekha,,
תָּאִיר,Ilumina,ta'ir,,
אֶֽרֶץ,[la] tierra,eretz,,
מִכְּ֒בוֹדֶֽךָ.,con Tu gloria.,mi-kevodekha,,
נָגִֽילָה,regocijémonos,nagila,,
וְנִשְׂמְ֒חָה,y alegrémonos,ve-nismecha,,
בָּךְ.,en Ti.,bakh,,
מַהֵר,Apresúrate,maher,,
אֶהֹב,Amado,ehov,,
כִּי,pues,ki,,
בָא,ha llegado,va,,
מוֹעֵד,[el] tiempo,mo'ed,,
וְחָנֵּֽנוּ,y concédenos gracia,ve-chanenu,,
כִּימֵי,como [en] los días,kimei,,
עוֹלָם:,antiguos:,olam,,
