original,translation,phonetics,format,notes
PARASHAT SHOFTIM,PARASHAT SHOFTIM,,part,
PRIMERA ALIÁ,PRIMERA ALIÁ,,chapter,
"Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA","Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA",,license,
"Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC","Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC",,license,
CAPÍTULO 16,CAPÍTULO 16,,chapter,
18,,,subchapter,
,Jueces y oficiales designarás para ti en todas tus puertas que Adonai tu Dios te da a ti para tus tribus; y juzgarán al pueblo [con] juicio de justicia.,,intro,
שֹׁפְטִ֣ים,Jueces,shofetim,,
וְשֹֽׁטְרִ֗ים,y oficiales,veshoterim,,
תִּֽתֶּן־לְךָ֙,designarás para ti,titen-lejá,,
בְּכׇל־שְׁעָרֶ֔יךָ,en todas tus puertas,bejol-sheareja,,
אֲשֶׁ֨ר,que,asher,,
יְהֹוָ֧ה,Adonai,adonai,,
אֱלֹהֶ֛יךָ,tu Dios,eloheja,,
נֹתֵ֥ן,te da,notén,,
לְךָ֖,a ti,lejá,,
לִשְׁבָטֶ֑יךָ,para tus tribus;,lishvateja,,
וְשָׁפְט֥וּ,y juzgarán,veshoftu,,
אֶת־הָעָ֖ם,al pueblo,et-haam,,
מִשְׁפַּט־צֶֽדֶק׃,[con] juicio de justicia.,mishpat-tzédek,,
19,,,subchapter,
,"No torcerás [el] juicio; no reconocerás rostros; y no tomarás soborno, pues el soborno ciega [los] ojos de sabios y pervierte [las] palabras de justos.",,intro,
לֹא־תַטֶּ֣ה,No torcerás,lo-taté,,
מִשְׁפָּ֔ט,[el] juicio;,mishpat,,
לֹ֥א,no,lo,,
תַכִּ֖יר,reconocerás,takir,,
פָּנִ֑ים,rostros;,panim,,
וְלֹא־תִקַּ֣ח,y no tomarás,veló-tikaj,,
שֹׁ֔חַד,"soborno,",shójad,,
כִּ֣י,pues,ki,,
הַשֹּׁ֗חַד,el soborno,hashójad,,
יְעַוֵּר֙,ciega,ieaver,,
עֵינֵ֣י,[los] ojos de,ené,,
חֲכָמִ֔ים,sabios,jajamim,,
וִֽיסַלֵּ֖ף,y pervierte,visalef,,
דִּבְרֵ֥י,[las] palabras de,divré,,
צַדִּיקִֽם׃,justos.,tzadikim,,
20,,,subchapter,
,"Justicia, justicia perseguirás, para que vivas y heredes la tierra que Adonai tu Dios te da a ti.",,intro,
צֶ֥דֶק,"Justicia,",tzédek,,
צֶ֖דֶק,justicia,tzédek,,
תִּרְדֹּ֑ף,"perseguirás,",tirdof,,
לְמַ֤עַן,para que,lemaan,,
תִּֽחְיֶה֙,vivas,tijeié,,
וְיָרַשְׁתָּ֣,y heredes,veiarashtá,,
אֶת־הָאָ֔רֶץ,la tierra,et-haáretz,,
אֲשֶׁר־יְהֹוָ֥ה,que Adonai,asher-adonai,,
אֱלֹהֶ֖יךָ,tu Dios,eloheja,,
נֹתֵ֥ן,te da,notén,,
לָֽךְ׃,a ti.,loj,,
21,,,subchapter,
,"No plantarás para ti una Asherá, ningún árbol, junto a [el] altar de Adonai tu Dios, que harás para ti.",,intro,
לֹֽא־תִטַּ֥ע,No plantarás,lo-titá,,
לְךָ֛,para ti,lejá,,
אֲשֵׁרָ֖ה,"una Asherá,",asherá,,
כׇּל־עֵ֑ץ,"ningún árbol,",kol-etz,,
אֵ֗צֶל,junto a,étzel,,
מִזְבַּ֛ח,[el] altar de,mizbaj,,
יְהֹוָ֥ה,Adonai,adonai,,
אֱלֹהֶ֖יךָ,"tu Dios,",eloheja,,
אֲשֶׁ֥ר,que,asher,,
תַּעֲשֶׂה־לָּֽךְ׃,harás para ti.,taasé-loj,,
22,,,subchapter,
,"Y no erigirás para ti una piedra ritual, que odia Adonai tu Dios.",,intro,
וְלֹֽא־תָקִ֥ים,Y no erigirás,veló-takim,,
לְךָ֖,para ti,lejá,,
מַצֵּבָ֑ה,"una piedra ritual,",matzevá,,
אֲשֶׁ֥ר,que,asher,,
שָׂנֵ֖א,odia,sané,,
יְהֹוָ֥ה,Adonai,adonai,,
אֱלֹהֶֽיךָ׃,tu Dios.,eloheja,,
CAPÍTULO 17,CAPÍTULO 17,,chapter,
1,,,subchapter,
,"No sacrificarás a Adonai tu Dios toro ni oveja que tenga en él defecto, ninguna cosa mala, pues abominación de Adonai tu Dios es.",,intro,
לֹא־תִזְבַּח֩,No sacrificarás,lo-tizbaj,,
לַיהֹוָ֨ה,a Adonai,ladonai,,
אֱלֹהֶ֜יךָ,tu Dios,eloheja,,
שׁ֣וֹר,toro,shor,,
וָשֶׂ֗ה,ni oveja,vasé,,
אֲשֶׁ֨ר,que,asher,,
יִהְיֶ֥ה,tenga,ihié,,
בוֹ֙,en él,vo,,
מ֔וּם,"defecto,",mum,,
כֹּ֖ל,ninguna,kol,,
דָּבָ֣ר,cosa,davar,,
רָ֑ע,"mala,",ra,,
כִּ֧י,pues,ki,,
תוֹעֲבַ֛ת,abominación de,toavat,,
יְהֹוָ֥ה,Adonai,adonai,,
אֱלֹהֶ֖יךָ,tu Dios,eloheja,,
הֽוּא׃,es.,hu,,
2,,,subchapter,
,"Cuando sea hallado en medio de ti, en una de tus puertas, que Adonai tu Dios te da a ti, un hombre o una mujer que haga lo malo ante los ojos de Adonai tu Dios, transgrediendo Su pacto;",,intro,
כִּֽי־יִמָּצֵ֤א,Cuando sea hallado,ki-imatzé,,
בְקִרְבְּךָ֙,"en medio de ti,",vekirbejá,,
בְּאַחַ֣ד,en una de,beajad,,
שְׁעָרֶ֔יךָ,"tus puertas,",sheareja,,
אֲשֶׁר־יְהֹוָ֥ה,que Adonai,asher-adonai,,
אֱלֹהֶ֖יךָ,tu Dios,eloheja,,
נֹתֵ֣ן,te da,notén,,
לָ֑ךְ,"a ti,",loj,,
אִ֣ישׁ,un hombre,ish,,
אוֹ־אִשָּׁ֗ה,o una mujer,o-ishá,,
אֲשֶׁ֨ר,que,asher,,
יַעֲשֶׂ֧ה,haga,iaasé,,
אֶת־הָרַ֛ע,lo malo,et-hará,,
בְּעֵינֵ֥י,ante los ojos de,beené,,
יְהֹוָה־אֱלֹהֶ֖יךָ,"Adonai tu Dios,",adonai-eloheja,,
לַעֲבֹ֥ר,transgrediendo,laavor,,
בְּרִיתֽוֹ׃,Su pacto;,berito,,
3,,,subchapter,
,"y vaya y sirva a dioses otros, y se incline ante ellos, ya sea al sol o a la luna o a cualquier ejército de los cielos, que no ordené;",,intro,
וַיֵּ֗לֶךְ,y vaya,vaiélej,,
וַֽיַּעֲבֹד֙,y sirva,vaiaavod,,
אֱלֹהִ֣ים,a dioses,elohim,,
אֲחֵרִ֔ים,"otros,",ajerim,,
וַיִּשְׁתַּ֖חוּ,y se incline,vaishtaju,,
לָהֶ֑ם,"ante ellos,",lahem,,
וְלַשֶּׁ֣מֶשׁ,ya sea al sol,velashémesh,,
א֣וֹ,o,o,,
לַיָּרֵ֗חַ,a la luna,laiareja,,
א֛וֹ,o,o,,
לְכׇל־צְבָ֥א,a cualquier ejército de,lejol-tzevá,,
הַשָּׁמַ֖יִם,"los cielos,",hashamáim,,
אֲשֶׁ֥ר,que,asher,,
לֹא־צִוִּֽיתִי׃,no ordené;,lo-tziviti,,
4,,,subchapter,
,"y te sea contado y oigas, e investigues bien, y he aquí: [es] verdad, cierto el asunto; fue hecha la abominación esta en Israel;",,intro,
