original,translation,phonetics,format,notes
PARASHAT SHOFTIM,PARASHAT SHOFTIM,,part,
SEGUNDA ALIÁ,SEGUNDA ALIÁ,,chapter,
"Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA","Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA",,license,
"Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC","Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC",,license,
CAPÍTULO 17,CAPÍTULO 17,,chapter,
14,,,subchapter,
,"Cuando entres a la tierra que Adonai tu Dios te da a ti, y la heredes y habites en ella, y digas: Pondré sobre mí un rey como todas las naciones que [están] alrededor de mí;",,intro,
כִּֽי־תָבֹ֣א,Cuando entres,ki-tavó,,
אֶל־הָאָ֗רֶץ,a la tierra,el-haáretz,,
אֲשֶׁ֨ר,que,asher,,
יְהֹוָ֤ה,Adonai,adonai,,
אֱלֹהֶ֙יךָ֙,tu Dios,elohejá,,
נֹתֵ֣ן,te da,notén,,
לָ֔ךְ,"a ti,",laj,,
וִֽירִשְׁתָּ֖הּ,y la heredes,virishtah,,
וְיָשַׁ֣בְתָּה,y habites,veiasháveta,,
בָּ֑הּ,"en ella,",bah,,
וְאָמַרְתָּ֗,y digas:,veamartá,,
אָשִׂ֤ימָה,Pondré,asima,,
עָלַי֙,sobre mí,alái,,
מֶ֔לֶךְ,un rey,mélej,,
כְּכׇל־הַגּוֹיִ֖ם,como todas las naciones,kejol-hagoim,,
אֲשֶׁ֥ר,que,asher,,
סְבִיבֹתָֽי׃,[están] alrededor de mí;,sevivotái,,
15,,,subchapter,
,ciertamente pondrás sobre ti un rey que escoja Adonai tu Dios en él; de en medio de tus hermanos pondrás sobre ti un rey; no podrás poner sobre ti un hombre extranjero que no sea tu hermano él.,,intro,
שׂ֣וֹם,ciertamente,som,,
תָּשִׂ֤ים,pondrás,tasim,,
עָלֶ֙יךָ֙,sobre ti,alejá,,
מֶ֔לֶךְ,un rey,mélej,,
אֲשֶׁ֥ר,que,asher,,
יִבְחַ֛ר,escoja,ivjar,,
יְהֹוָ֥ה,Adonai,adonai,,
אֱלֹהֶ֖יךָ,tu Dios,eloheja,,
בּ֑וֹ,en él;,bo,,
מִקֶּ֣רֶב,de en medio de,mikérev,,
אַחֶ֗יךָ,tus hermanos,ajeja,,
תָּשִׂ֤ים,pondrás,tasim,,
עָלֶ֙יךָ֙,sobre ti,alejá,,
מֶ֔לֶךְ,un rey;,mélej,,
לֹ֣א,no,lo,,
תוּכַ֗ל,podrás,tujal,,
לָתֵ֤ת,poner,latet,,
עָלֶ֙יךָ֙,sobre ti,alejá,,
אִ֣ישׁ,un hombre,ish,,
נׇכְרִ֔י,extranjero,nojrí,,
אֲשֶׁ֥ר,que,asher,,
לֹֽא־אָחִ֖יךָ,no sea tu hermano,lo-ajija,,
הֽוּא׃,él.,hu,,
16,,,subchapter,
,"Solamente no aumentará para sí caballos, y no hará volver al pueblo hacia Egipto para aumentar caballos, pues Adonai dijo a ustedes: No volverán a regresar por el camino este otra vez.",,intro,
רַק֮,Solamente,rak,,
