original,translation,phonetics,format,notes
PARASHAT SHOFTIM,PARASHAT SHOFTIM,,part,
TERCERA ALIÁ,TERCERA ALIÁ,,chapter,
"Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA","Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA",,license,
"Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC","Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC",,license,
CAPÍTULO 18,CAPÍTULO 18,,chapter,
1,,,subchapter,
,"No habrá para los sacerdotes los levitas, toda la tribu de Leví, porción ni heredad con Israel; [las] ofrendas de fuego de Adonai y Su heredad comerán.",,intro,
לֹֽא־יִ֠הְיֶ֠ה,No habrá,lo-yiheyé,,
לַכֹּהֲנִ֨ים,para los sacerdotes,lakohanim,,
הַלְוִיִּ֜ם,"los levitas,",halviyim,,
כׇּל־שֵׁ֧בֶט,toda la tribu de,kol-shévet,,
לֵוִ֛י,"Leví,",leví,,
חֵ֥לֶק,porción,jélek,,
וְנַחֲלָ֖ה,ni heredad,venajalá,,
עִם־יִשְׂרָאֵ֑ל,con Israel;,im-yisrael,,
אִשֵּׁ֧י,[las] ofrendas de fuego de,ishéi,,
יְהֹוָ֛ה,Adonai,Adonai,,
וְנַחֲלָת֖וֹ,y Su heredad,venajalato,,
יֹאכֵלֽוּן׃,comerán.,yojelun,,
2,,,subchapter,
,"Y heredad no habrá para él en medio de sus hermanos; Adonai Él [es] su heredad, como le habló.",,intro,
וְנַחֲלָ֥ה,Y heredad,venajalá,,
לֹא־יִֽהְיֶה־לּ֖וֹ,no habrá para él,lo-yíheye-lo,,
בְּקֶ֣רֶב,en medio de,bekérev,,
אֶחָ֑יו,sus hermanos;,ejayv,,
יְהֹוָה֙,Adonai,Adonai,,
ה֣וּא,Él [es],hu,,
נַחֲלָת֔וֹ,"su heredad,",najalato,,
כַּאֲשֶׁ֖ר,como,kaasher,,
דִּבֶּר־לֽוֹ׃,le habló.,diber-lo,,
3,,,subchapter,
,"Y este será [el] derecho de los sacerdotes de parte de el pueblo, de parte de quienes sacrifican el sacrificio, sea toro sea oveja: dará al sacerdote la espaldilla, las quijadas y el estómago.",,intro,
וְזֶ֡ה,Y este,vezé,,
יִהְיֶה֩,será,yihyé,,
מִשְׁפַּ֨ט,[el] derecho de,mishpat,,
הַכֹּהֲנִ֜ים,los sacerdotes,hakohanim,,
מֵאֵ֣ת,de parte de,meet,,
הָעָ֗ם,"el pueblo,",haam,,
מֵאֵ֛ת,de parte de,meet,,
זֹבְחֵ֥י,quienes sacrifican,zovjéi,,
הַזֶּ֖בַח,"el sacrificio,",hazévaj,,
אִם־שׁ֣וֹר,sea toro,im-shor,,
אִם־שֶׂ֑ה,sea oveja:,im-se,,
וְנָתַן֙,dará,venatán,,
לַכֹּהֵ֔ן,al sacerdote,lakohén,,
הַזְּרֹ֥עַ,"la espaldilla,",hazeroa,,
וְהַלְּחָיַ֖יִם,las quijadas,vehalejayáyim,,
וְהַקֵּבָֽה׃,y el estómago.,vehakevá,,
4,,,subchapter,
,"[Lo] primero de tu grano, tu vino nuevo y tu aceite, y [lo] primero de [la] esquila de tu rebaño le darás.",,intro,
רֵאשִׁ֨ית,[Lo] primero de,reshit,,
דְּגָֽנְךָ֜,"tu grano,",deganejá,,
תִּירֹשְׁךָ֣,tu vino nuevo,tiroshjá,,
וְיִצְהָרֶ֗ךָ,"y tu aceite,",veyitzhareja,,
וְרֵאשִׁ֛ית,y [lo] primero de,vereshit,,
גֵּ֥ז,[la] esquila de,gez,,
צֹאנְךָ֖,tu rebaño,tzonjá,,
תִּתֶּן־לֽוֹ׃,le darás.,titén-lo,,
5,,,subchapter,
,"Pues a él escogió Adonai tu Dios de todas tus tribus, para estar sirviendo en [el] nombre de Adonai, él y sus hijos, todos los días.",,intro,
כִּ֣י,Pues,ki,,
ב֗וֹ,a él,vo,,
בָּחַ֛ר,escogió,bajar,,
יְהֹוָ֥ה,Adonai,Adonai,,
אֱלֹהֶ֖יךָ,tu Dios,eloheija,,
מִכׇּל־שְׁבָטֶ֑יךָ,"de todas tus tribus,",mikol-shevateija,,
לַעֲמֹ֨ד,para estar,laamod,,
לְשָׁרֵ֧ת,sirviendo,lesharet,,
בְּשֵׁם־יְהֹוָ֛ה,"en [el] nombre de Adonai,",beshem-Adonai,,
ה֥וּא,él,hu,,
וּבָנָ֖יו,"y sus hijos,",uvanayv,,
כׇּל־הַיָּמִֽים׃,todos los días.,kol-hayamim,,
