original,translation,phonetics,format,notes
PARASHAT SHOFTIM,PARASHAT SHOFTIM,,part,
CUARTA ALIÁ,CUARTA ALIÁ,,chapter,
"Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA","Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA",,license,
"Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC","Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC",,license,
CAPÍTULO 18,CAPÍTULO 18,,chapter,
6,,,subchapter,
,"Y cuando venga el levita de una de tus puertas, de todo Israel, donde él habita allí, y venga con todo deseo de su alma al lugar que escoja Adonai;",,intro,
וְכִֽי־יָבֹ֨א,Y cuando venga,vejí-yavó,,
הַלֵּוִ֜י,el levita,haleví,,
מֵאַחַ֤ד,de una de,meajad,,
שְׁעָרֶ֙יךָ֙,"tus puertas,",sheareijá,,
מִכׇּל־יִשְׂרָאֵ֔ל,"de todo Israel,",mikol-yisrael,,
אֲשֶׁר־ה֖וּא,donde él,asher-hu,,
גָּ֣ר,habita,gar,,
שָׁ֑ם,"allí,",sham,,
וּבָא֙,y venga,uvá,,
בְּכׇל־אַוַּ֣ת,con todo deseo de,bejol-avat,,
נַפְשׁ֔וֹ,su alma,nafsho,,
אֶל־הַמָּק֖וֹם,al lugar,el-hamákom,,
אֲשֶׁר־יִבְחַ֥ר,que escoja,asher-yivjar,,
יְהֹוָֽה׃,Adonai;,Adonai,,
7,,,subchapter,
,"servirá en [el] nombre de Adonai su Dios, como todos sus hermanos los levitas, que están allí delante de Adonai.",,intro,
וְשֵׁרֵ֕ת,servirá,vesheret,,
בְּשֵׁ֖ם,en [el] nombre de,beshem,,
יְהֹוָ֣ה,Adonai,Adonai,,
אֱלֹהָ֑יו,"su Dios,",elohayv,,
כְּכׇל־אֶחָיו֙,como todos sus hermanos,kejol-ejayv,,
הַלְוִיִּ֔ם,"los levitas,",halviyim,,
הָעֹמְדִ֥ים,que están,haomdim,,
שָׁ֖ם,allí,sham,,
לִפְנֵ֥י,delante de,lifnéi,,
יְהֹוָֽה׃,Adonai.,Adonai,,
8,,,subchapter,
,"Porción como porción comerán, aparte de sus ventas sobre los padres.",,intro,
חֵ֥לֶק,Porción,jélek,,
כְּחֵ֖לֶק,como porción,kejélek,,
יֹאכֵ֑לוּ,"comerán,",yojelu,,
לְבַ֥ד,aparte de,levad,,
מִמְכָּרָ֖יו,sus ventas,mimkarayv,,
עַל־הָאָבֽוֹת׃,sobre los padres.,al-haávot,,
9,,,subchapter,
,"Cuando tú entres a la tierra que Adonai tu Dios te da a ti, no aprenderás a hacer como [las] abominaciones de las naciones aquellas.",,intro,
כִּ֤י,Cuando,ki,,
אַתָּה֙,tú,atá,,
בָּ֣א,entres,ba,,
אֶל־הָאָ֔רֶץ,a la tierra,el-haáretz,,
אֲשֶׁר־יְהֹוָ֥ה,que Adonai,asher-Adonai,,
אֱלֹהֶ֖יךָ,tu Dios,eloheija,,
נֹתֵ֣ן,te da,notén,,
לָ֑ךְ,"a ti,",laje,,
לֹֽא־תִלְמַ֣ד,no aprenderás,lo-tilmad,,
לַעֲשׂ֔וֹת,a hacer,laásot,,
כְּתוֹעֲבֹ֖ת,como [las] abominaciones de,ketoavot,,
הַגּוֹיִ֥ם,las naciones,hagoyim,,
הָהֵֽם׃,aquellas.,hahem,,
10,,,subchapter,
,"No será hallado en ti quien haga pasar a su hijo o su hija por el fuego, quien practique adivinaciones, quien pronostique quien augure o quien hechice;",,intro,
לֹֽא־יִמָּצֵ֣א,No será hallado,lo-yimatzé,,
בְךָ֔,en ti,vejá,,
מַעֲבִ֥יר,quien haga pasar,maavir,,
בְּנֽוֹ־וּבִתּ֖וֹ,a su hijo o su hija,beno-uvito,,
בָּאֵ֑שׁ,"por el fuego,",baesh,,
קֹסֵ֣ם,quien practique,kosem,,
קְסָמִ֔ים,"adivinaciones,",kesamim,,
מְעוֹנֵ֥ן,quien pronostique,meonén,,
וּמְנַחֵ֖שׁ,quien augure,umenajesh,,
וּמְכַשֵּֽׁף׃,o quien hechice;,umejashef,,
11,,,subchapter,
,"ni quien ate encantamientos, ni quien consulte un espíritu, ni un médium, ni quien consulte a los muertos.",,intro,
וְחֹבֵ֖ר,ni quien ate,vejover,,
חָ֑בֶר,"encantamientos,",jáver,,
וְשֹׁאֵ֥ל,ni quien consulte,veshoel,,
אוֹב֙,"un espíritu,",ov,,
וְיִדְּעֹנִ֔י,"ni un médium,",veyideoní,,
וְדֹרֵ֖שׁ,ni quien consulte,vedoresh,,
אֶל־הַמֵּתִֽים׃,a los muertos.,el-hametim,,
12,,,subchapter,
,"Pues [es] abominación de Adonai todo el que hace estas cosas, y por causa de las abominaciones estas Adonai tu Dios los desposee a ellos de delante de ti.",,intro,
כִּֽי־תוֹעֲבַ֥ת,Pues [es] abominación de,ki-toavat,,
יְהֹוָ֖ה,Adonai,Adonai,,
כׇּל־עֹ֣שֵׂה,todo el que hace,kol-ose,,
אֵ֑לֶּה,"estas cosas,",ele,,
וּבִגְלַל֙,y por causa de,uviglal,,
הַתּוֹעֵבֹ֣ת,las abominaciones,hatoevot,,
הָאֵ֔לֶּה,estas,haele,,
יְהֹוָ֣ה,Adonai,Adonai,,
אֱלֹהֶ֔יךָ,tu Dios,eloheija,,
מוֹרִ֥ישׁ,los desposee,morish,,
אוֹתָ֖ם,a ellos,otam,,
מִפָּנֶֽיךָ׃,de delante de ti.,mipaneija,,
13,,,subchapter,
,Íntegro serás con Adonai tu Dios.,,intro,
תָּמִ֣ים,Íntegro,tamim,,
תִּֽהְיֶ֔ה,serás,tiheyé,,
עִ֖ם,con,im,,
יְהֹוָ֥ה,Adonai,Adonai,,
אֱלֹהֶֽיךָ׃,tu Dios.,eloheija,,
