original,translation,phonetics,format,notes
PARASHAT SHOFTIM,PARASHAT SHOFTIM,,part,
QUINTA ALIÁ,QUINTA ALIÁ,,chapter,
"Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA","Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA",,license,
"Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC","Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC",,license,
CAPÍTULO 18,CAPÍTULO 18,,chapter,
14,,,subchapter,
,"Pues las naciones estas, que tú heredas a ellas, a pronosticadores y a adivinos escuchan; pero tú, no así te permitió a ti Adonai tu Dios.",,intro,
כִּ֣י,Pues,ki,,
הַגּוֹיִ֣ם,las naciones,hagoim,,
הָאֵ֗לֶּה,"estas,",haele,,
אֲשֶׁ֤ר,que,asher,,
אַתָּה֙,tú,atá,,
יוֹרֵ֣שׁ,heredas,ioresh,,
אוֹתָ֔ם,"a ellas,",otam,,
אֶל־מְעֹנְנִ֥ים,a pronosticadores,el-meonenim,,
וְאֶל־קֹסְמִ֖ים,y a adivinos,veel-kosemim,,
יִשְׁמָ֑עוּ,escuchan;,ishmau,,
וְאַתָּ֕ה,"pero tú,",veatá,,
לֹ֣א,no,lo,,
כֵ֔ן,así,jen,,
נָ֥תַן,te permitió,natan,,
לְךָ֖,a ti,lejá,,
יְהֹוָ֥ה,Adonai,adonai,,
אֱלֹהֶֽיךָ׃,tu Dios.,eloheja,,
15,,,subchapter,
,"Un profeta de en medio de ti, de tus hermanos, como yo, levantará para ti Adonai tu Dios; a él escucharán.",,intro,
נָבִ֨יא,Un profeta,naví,,
מִקִּרְבְּךָ֤,"de en medio de ti,",mikirbejá,,
מֵאַחֶ֙יךָ֙,"de tus hermanos,",meajejá,,
כָּמֹ֔נִי,"como yo,",kamoni,,
יָקִ֥ים,levantará,iakim,,
לְךָ֖,para ti,lejá,,
יְהֹוָ֣ה,Adonai,adonai,,
אֱלֹהֶ֑יךָ,tu Dios;,eloheja,,
אֵלָ֖יו,a él,elav,,
תִּשְׁמָעֽוּן׃,escucharán.,tishmaun,,
16,,,subchapter,
,"Conforme a todo lo que pediste de Adonai tu Dios en Jorev, en [el] día de la asamblea, diciendo: No volveré a oír la voz de Adonai mi Dios, y el fuego grande este no veré más, para que no muera.",,intro,
כְּכֹ֨ל,Conforme a todo,kejol,,
אֲשֶׁר־שָׁאַ֜לְתָּ,lo que pediste,asher-shaáleta,,
מֵעִ֨ם,de,meim,,
יְהֹוָ֤ה,Adonai,adonai,,
אֱלֹהֶ֙יךָ֙,tu Dios,elohejá,,
בְּחֹרֵ֔ב,"en Jorev,",bejorev,,
בְּי֥וֹם,en [el] día de,béiom,,
הַקָּהָ֖ל,"la asamblea,",hakahal,,
לֵאמֹ֑ר,diciendo:,lemor,,
לֹ֣א,No,lo,,
אֹסֵ֗ף,volveré,osef,,
לִשְׁמֹ֙עַ֙,a oír,lishmoá,,
אֶת־קוֹל֙,la voz de,et-kol,,
יְהֹוָ֣ה,Adonai,adonai,,
אֱלֹהָ֔י,"mi Dios,",elohái,,
וְאֶת־הָאֵ֨שׁ,y el fuego,veet-haesh,,
הַגְּדֹלָ֥ה,grande,hagedolá,,
הַזֹּ֛את,este,hazot,,
לֹֽא־אֶרְאֶ֥ה,no veré,lo-eré,,
ע֖וֹד,"más,",od,,
וְלֹ֥א,para que no,veló,,
אָמֽוּת׃,muera.,ámut,,
17,,,subchapter,
,Y dijo Adonai a mí: Hicieron bien en lo que hablaron.,,intro,
וַיֹּ֥אמֶר,Y dijo,vaiómer,,
יְהֹוָ֖ה,Adonai,adonai,,
אֵלָ֑י,a mí:,elái,,
הֵיטִ֖יבוּ,Hicieron bien,hetivu,,
אֲשֶׁ֥ר,en lo que,asher,,
דִּבֵּֽרוּ׃,hablaron.,diberu,,
18,,,subchapter,
,"Un profeta levantaré para ellos de en medio de sus hermanos, como tú; y pondré Mis palabras en su boca, y hablará a ellos todo lo que le ordene.",,intro,
