original,translation,phonetics,format,notes
PARASHAT SHOFTIM,PARASHAT SHOFTIM,,part,
SÉPTIMA ALIÁ,SÉPTIMA ALIÁ,,chapter,
"Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA","Fuente hebrea: Sefaria, Miqra according to the Masorah, licencia CC-BY-SA",,license,
"Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC","Fuente auxiliar inglesa: Sefaria, THE JPS TANAKH: Gender-Sensitive Edition, licencia CC-BY-NC",,license,
CAPÍTULO 20,CAPÍTULO 20,,chapter,
10,,,subchapter,
,"Cuando te acerques a una ciudad para combatir contra ella, proclamarás a ella [la] paz.",,intro,
כִּֽי־תִקְרַ֣ב,Cuando te acerques,ki-tikrav,,
אֶל־עִ֔יר,a una ciudad,el-'ir,,
לְהִלָּחֵ֖ם,para combatir,lehilajem,,
עָלֶ֑יהָ,"contra ella,",'alea,,
וְקָרָ֥אתָ,proclamarás,vekarata,,
אֵלֶ֖יהָ,a ella,elea,,
לְשָׁלֽוֹם׃,[la] paz.,leshalom,,
11,,,subchapter,
,"Y será: si [con] paz te responde y abre para ti, entonces todo el pueblo que se halle en ella será para ti para tributo y te servirá.",,intro,
וְהָיָה֙,Y será:,vehaiá,,
אִם־שָׁל֣וֹם,si [con] paz,im-shalom,,
תַּֽעַנְךָ֔,te responde,tá'anja,,
וּפָתְחָ֖ה,y abre,ufotjá,,
לָ֑ךְ,"para ti,",laj,,
וְהָיָ֞ה,entonces,vehaiá,,
כׇּל־הָעָ֣ם,todo el pueblo,kol-ha'am,,
הַנִּמְצָא־בָ֗הּ,que se halle en ella,hanimtzó-vah,,
יִהְי֥וּ,será,ihú,,
לְךָ֛,para ti,lejá,,
לָמַ֖ס,para tributo,lamás,,
וַעֲבָדֽוּךָ׃,y te servirá.,va'avaduja,,
12,,,subchapter,
,"Pero si no hace la paz contigo y hace contigo guerra, la sitiarás a ella.",,intro,
וְאִם־לֹ֤א,Pero si no,veim-lo,,
תַשְׁלִים֙,hace la paz,tashlim,,
עִמָּ֔ךְ,contigo,'imaj,,
וְעָשְׂתָ֥ה,y hace,ve'ostá,,
עִמְּךָ֖,contigo,'imejá,,
