original	translation	phonetics	format	notes
BOOK ONE			book	
יום ראשון	SUNDAY		part	
יום א' לחודש	DAY 1		chapter	
א	1		subchapter	
The book of Psalms begins with a guide to life itself. Avoid the influence of evildoers and those who ridicule good, and adopt the study and knowledge of Torah as your main goal. Then God will reward you with a life of joy and good fortune.			intro	
א אַשְׁרֵי	Praiseworthy is			
הָאִישׁ	the man			
אֲשֶׁר	who			
לֹא הָלַךְ	did not walk			
בַּעֲצַת	in the council			
רְשָׁעִים,	of the wicked,			
וּבְדֶרֶךְ	and in the path			
חַטָאִים	of the sinful			A wicked person promotes lawlessness and disregard for Torah, while the sinful one errs unintentionally. Nevertheless , he too is condemned , because his frivolous attitude towards God is the cause of his sinfulness (R' Hirsch)
לֹא עָמַד,	did not stand,			
וּבְמוֹשַׁב	and in the session			
לֵצִים	of scorners			
לֹא יָשָׁב.	did not sit.			
כִּי אִם	Rather			
בְּתוֹרָת	in the Torah			
יהוה	of Hashem			
חֶפְצוֹ,	is his desire,			
וּבְתוֹרָתוֹ	and in His Torah			The pronoun His refers to Hashem. This can also be rendered in his Torah, referring to the man who desires Torah. At first the text calls it תורת ה', the Torah of Hashem, but after he has toiled to understand it, it is considered as his and is called תוֹרָתוֹ, his own Torah (Rashi)
יֶהְגֶה	he meditates			
יוֹמָם	day			
וָלָיְלָה.	and night.			
