original,translation,phonetics,format,notes
וַהֲבִיאוֹתִים / ISAÍAS 56:7,VAHAVIOTIM / ISAÍAS 56:7,,part,
"Fuente auxiliar: Sefaria, Selichot Nusach Lita -- Wikisource, https://he.wikisource.org/wiki/%D7%A1%D7%9C%D7%99%D7%97%D7%95%D7%AA_%D7%9C%D7%99%D7%95%D7%9D_%D7%A8%D7%90%D7%A9%D7%95%D7%9F_%D7%9C%D7%A4%D7%99_%D7%9E%D7%A0%D7%94%D7%92_%D7%9C%D7%99%D7%98%D7%90, licencia CC-BY-SA","Fuente auxiliar: Sefaria, Selichot Nusach Lita -- Wikisource, https://he.wikisource.org/wiki/%D7%A1%D7%9C%D7%99%D7%97%D7%95%D7%AA_%D7%9C%D7%99%D7%95%D7%9D_%D7%A8%D7%90%D7%A9%D7%95%D7%9F_%D7%9C%D7%A4%D7%99_%D7%9E%D7%A0%D7%94%D7%92_%D7%9C%D7%99%D7%98%D7%90, licencia CC-BY-SA",,license,
"Fuente auxiliar: Sefaria, The Metsudah Selichos: translated and annotated by Rabbi Avrohom Davis, Metsudah Publications, 1986, http://www.israelbookshoppublications.com/store/pc/Metsudah-Selichos-p349.htm, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah Selichos: translated and annotated by Rabbi Avrohom Davis, Metsudah Publications, 1986, http://www.israelbookshoppublications.com/store/pc/Metsudah-Selichos-p349.htm, licencia CC-BY",,license,
וַהֲבִיאוֹתִים,Y los traeré,va-haviotim,,
אֶל הַר קָדְשִׁי,a Mi monte santo,el har kodshi,,
וְשִׂמַּחְתִּים,y los alegraré,ve-simachtim,,
בְּבֵית תְּפִלָּתִי,en Mi casa de oración,be-beit tefilati,,
עוֹלוֹתֵיהֶם,sus holocaustos,oloteihem,,
וְזִבְחֵיהֶם,y sus sacrificios,ve-zivcheihem,,
לְרָצוֹן,[serán] aceptados,le-ratzon,,
עַל מִזְבְּחִי,sobre Mi altar,al mizbechi,,
כִּי,pues,ki,,
בֵיתִי,Mi casa,beiti,,
בֵּית תְּפִלָּה,casa de oración,beit tefila,,
יִקָּרֵא,será llamada,yikarei,,
לְכָל הָעַמִּים:,para todos los pueblos.,le-khol ha-amim,,
