original,translation,phonetics,format,notes
MIZMOR 98,SALMO 98,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
מִזְמוֹר,Salmo.,mizmor,,
שִֽׁירוּ לַיהֹוָה שִׁיר חָדָשׁ,"Canten a Adonai un canto nuevo,",shiru la-Adonai shir jadash,,
כִּי־נִפְלָאוֹת עָשָׂה,porque maravillas hizo;,ki niflaot asah,,
הוֹשִֽׁיעָה־לּוֹ יְמִינוֹ,"Su diestra Le dio victoria,",hoshiah lo yemino,,
וּזְרֽוֹעַ קָדְשׁוֹ:,y Su brazo santo.,u-zeroa kodsho,,
הוֹדִֽיעַ יְהֹוָה יְשׁוּעָתוֹ,"Adonai dio a conocer Su salvacion,",hodia Adonai yeshuato,,
לְעֵינֵי הַגּוֹיִם,ante los ojos de las naciones,le-einei ha-goyim,,
גִּלָּה צִדְקָתוֹ:,revelo Su justicia.,gilah tzidkato,,
זָכַר חַסְדּוֹ,Recordo Su bondad,zajar jasdo,,
וֶאֱמוּנָתוֹ,y Su fidelidad,ve-emunato,,
לְבֵית יִשְׂרָאֵל,hacia la casa de Israel;,le-veit Yisrael,,
רָאוּ כָל־אַפְסֵי־אָֽרֶץ,vieron todos los confines de la tierra,rau kol afsei aretz,,
אֵת יְשׁוּעַת אֱלֹהֵֽינוּ:,la salvacion de nuestro Dios.,et yeshuat Eloheinu,,
הָרִֽיעוּ לַיהֹוָה,"Aclamen a Adonai,",hariu la-Adonai,,
כָּל־הָאָֽרֶץ,toda la tierra;,kol ha-aretz,,
פִּצְחוּ וְרַנְּנוּ וְזַמֵּֽרוּ:,"prorrumpan, canten y entonen salmos.",pitzju ve-ranenu ve-zameru,,
זַמְּרוּ לַיהֹוָה בְּכִנּוֹר,"Entonen salmos a Adonai con arpa,",zameru la-Adonai be-jinor,,
בְּכִנּוֹר וְקוֹל זִמְרָה:,con arpa y voz de canto.,be-jinor ve-kol zimrah,,
בַּחֲצֹצְרוֹת,Con trompetas,ba-jatzotzerot,,
וְקוֹל שׁוֹפָר,y sonido de shofar,ve-kol shofar,,
הָרִֽיעוּ לִפְנֵי הַמֶּֽלֶךְ יְהֹוָה:,"aclamen ante el Rey, Adonai.",hariu lifnei ha-melej Adonai,,
יִרְעַם הַיָּם וּמְלֹאוֹ,"Brame el mar y su plenitud,",yiram ha-yam u-melo-o,,
תֵּבֵל,el mundo,tevel,,
וְיֽשְׁבֵי בָהּ:,y los que habitan en el.,ve-yoshvei vah,,
נְהָרוֹת יִמְחֲאוּ־כָף,"Los rios aplaudan,",neharot yimjau jaf,,
יַֽחַד הָרִים יְרַנֵּֽנוּ:,juntos los montes canten con alegria.,yajad harim yeranenu,,
לִפְנֵי יְהֹוָה,"ante Adonai,",lifnei Adonai,,
כִּי בָא,porque viene,ki va,,
לִשְׁפֹּט הָאָֽרֶץ,a juzgar la tierra;,lishpot ha-aretz,,
יִשְׁפֹּט־תֵּבֵל בְּצֶֽדֶק,"juzgara al mundo con justicia,",yishpot tevel be-tzedek,,
וְעַמִּים בְּמֵישָׁרִים:,y a los pueblos con rectitud.,ve-amim be-meisharim,,
