original,translation,phonetics,format,notes
LEKHA DODI,LEKHA DODI,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
שָׁמוֹר וְזָכוֹר,"Guardar y recordar,",shamor ve-zajor,,
בְּדִבּוּר אֶחָד.,"en una sola palabra,",be-dibur ejad,,
הִשְׁמִיעָֽנוּ,nos hizo oir,hishmianu,,
אֵל הַמְיוּחָד.,el Dios unico;,El ha-meyujad,,
יְהֹוָה אֶחָד,"Adonai [es] uno,",Adonai ejad,,
וּשְׁמוֹ אֶחָד.,y Su Nombre [es] uno;,u-shemo ejad,,
לְשֵׁם,"para renombre,",le-shem,,
וּלְתִפְאֶֽרֶת,"para esplendor,",u-le-tiferet,,
וְלִתְהִלָּה:,y para alabanza.,ve-li-tehilah,,
,,,break,
לְכָה דוֹדִי,"Ven, amado mio,",leja dodi,,
לִקְרַאת כַּלָּה.,al encuentro de la novia;,likrat kalah,,
פְּנֵי שַׁבָּת נְקַבְּ֒לָה:,recibamos la presencia del Shabat.,penei Shabat nekabelah,,
,,,break,
לִקְרַאת שַׁבָּת,Al encuentro del Shabat,likrat Shabat,,
לְכוּ וְנֵלְ֒כָה.,"vayan y vayamos,",leju ve-nelajah,,
כִּי הִיא,porque ella [es],ki hi,,
מְקוֹר הַבְּ֒רָכָה.,la fuente de la bendicion;,mekor ha-berajah,,
מֵרֹאשׁ,"desde el comienzo,",me-rosh,,
מִקֶּֽדֶם,"desde antiguo,",mi-kedem,,
נְסוּכָה.,fue establecida;,nesujah,,
סוֹף מַעֲשֶׂה,el fin de la obra,sof maaseh,,
