original,translation,phonetics,format,notes
קַדִּישׁ יָתוֹם / KADDISH DEL DOLIENTE,KADDISH DEL DOLIENTE,,part,
"Fuente: Sefaria, Daat Siddur Ashkenaz, http://www.daat.ac.il/daat/sidurim/tohen3.htm, licencia Public Domain","Fuente: Sefaria, Daat Siddur Ashkenaz, http://www.daat.ac.il/daat/sidurim/tohen3.htm, licencia Public Domain",,license,
יִתְגַּדַּל,Sea engrandecido,yitgadal,,
וְיִתְקַדַּשׁ,y sea santificado,ve-yitkadash,,
שְׁמֵהּ רַבָּא,Su gran Nombre,shemeh raba,,
[קהל: אמן],[comunidad: amen],[kahal: amen],,
,,,break,
בְּעָלְמָא,En el mundo,be-alma,,
דִּי בְרָא,que creó,di vera,,
כִרְעוּתֵהּ,conforme a Su voluntad,Ji-ruteh,,
וְיַמְלִיךְ מַלְכוּתֵהּ,y haga reinar Su reino,ve-yamlij maljuteh,,
בְּחַיֵּיכון,en sus vidas,Be-jayeijon,,
וּבְיומֵיכון,y en sus días,U-vyomeijon,,
וּבְחַיֵּי דְכָל בֵּית יִשרָאֵל,y en la vida de toda la Casa de Israel,u-vjayei de-jol beit Yisrael,,
בַּעֲגָלָא,prontamente,ba-agala,,
וּבִזְמַן קָרִיב,y en un tiempo cercano,u-vizman kariv,,
וְאִמְרוּ אָמֵן:,y digan: Amén,ve-imru amen,,
[קהל: אמן],[comunidad: amen],[kahal: amen],,
,,,break,
קהל ואבל:,Comunidad y doliente:,kahal ve-avel,,
יְהֵא,[Que] sea,yehe,,
שְׁמֵהּ רַבָּא,Su gran Nombre,shemeh raba,,
מְבָרַךְ,bendecido,mevaraj,,
לְעָלַם,por siempre,le-alam,,
וּלְעָלְמֵי עָלְמַיָּא,y por los siglos de los siglos,U-le-alme almaya,,
,,,break,
אָבֵל:,Doliente:,avel,,
יִתְבָּרַךְ,Sea bendecido,yitbaraj,,
וְיִשְׁתַּבַּח,y alabado,ve-yishtabaj,,
וְיִתְפָּאַר,y glorificado,ve-yitpa'ar,,
וְיִתְרומַם,y exaltado,ve-yitromam,,
וְיִתְנַשּא,y elevado,ve-yitnaseh,,
וְיִתְהַדָּר,y enaltecido,ve-yithadar,,
וְיִתְעַלֶּה,y ensalzado,ve-yit'aleh,,
וְיִתְהַלָּל,y loado,ve-yithalal,,
שְׁמֵהּ דְּקֻדְשָׁא,el Nombre del Santo,shemeh de-kudsha,,
בְּרִיךְ הוּא,bendito [es] Él,berij hu,,
[קהל: בריך הוא:],[comunidad: bendito sea El],[kahal: berij hu],,
,,,break,
לְעֵלָּא מִן כָּל בִּרְכָתָא,Por encima de toda bendición,le-eila min kol birjata,,
וְשִׁירָתָא,y canto,ve-shirata,,
תֻּשְׁבְּחָתָא,alabanza,tushbejata,,
וְנֶחֱמָתָא,y consuelo,ve-nejemata,,
דַּאֲמִירָן,que son dichos,da'amiran,,
בְּעָלְמָא,en el mundo,be-alma,,
וְאִמְרוּ אָמֵן:,y digan: Amén,ve-imru amen,,
[קהל: אמן],[comunidad: amen],[kahal: amen],,
,,,break,
יְהֵא,[Que] haya,yehei,,
שְׁלָמָא רַבָּא,paz abundante,shlama raba,,
מִן שְׁמַיָּא,desde el Cielo,min shemaya,,
וְחַיִּים,y vida,ve-jayim,,
עָלֵינוּ,sobre nosotros,aleinu,,
וְעַל כָּל יִשרָאֵל,y sobre todo Israel,ve-al kol Yisrael,,
וְאִמְרוּ אָמֵן:,y digan: Amén,ve-imru amen,,
[קהל: אמן],[comunidad: amen],[kahal: amen],,
,,,break,
עוֹשה שָׁלוֹם,El que hace la paz,oseh shalom,,
בִּמְרומָיו,en Sus alturas,bimromav,,
הוּא יַעֲשה שָׁלום,Él hará paz,hu ya'aseh shalom,,
עָלֵינוּ,sobre nosotros,aleinu,,
וְעַל כָּל יִשרָאֵל,y sobre todo Israel,ve-al kol Yisrael,,
וְאִמְרוּ אָמֵן:,y digan: Amén,ve-imru amen,,
[קהל: אמן],[comunidad: amen],[kahal: amen],,
