original,translation,phonetics,format,notes
יְדִיד נֶפֶשׁ,YEDID NEFESH,,part,
"Fuente auxiliar: Sefaria, The Metsudah Siddur, Metsudah Publications, 1981 - HE, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah Siddur, Metsudah Publications, 1981 - HE, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, The Metsudah Siddur, Metsudah Publications, 1981 - EN, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah Siddur, Metsudah Publications, 1981 - EN, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְדִיד נֶֽפֶשׁ,Amado [del] alma,Yedid nefesh,,
אָב הָרַחֲמָן.,"Padre misericordioso,",Av ha-rajaman,,
מְשׁוֹךְ,Atrae,meshuj,,
עַבְדְּ֒ךָ,a Tu siervo,avdeja,,
אֶל רְצוֹנֶֽךָ.,hacia Tu voluntad.,el retzoneja,,
יָרוּץ,Correrá,yarutz,,
עַבְדְּ֒ךָ,Tu siervo,avdeja,,
כְּמוֹ אַיָּל,como [un] ciervo,kemo ayal,,
יִשְׁתַּחֲוֶה,se postrará,yishtajaveh,,
אֶל מוּל,frente [a],el mul,,
הֲדָרֶֽךָ.,Tu esplendor.,hadareja,,
יֶעֱרַב,Será dulce,ye'erav,,
לוֹ,para él,lo,,
יְדִידוֹתֶֽיךָ.,Tu amor.,yedidoteja,,
מִנֹּֽפֶת צוּף,más que [el] néctar [del] panal,mi-nofet tzuf,,
וְכָל טָֽעַם:,y todo sabor:,ve-jol ta'am,,
,,,break,
הָדוּר,Espléndido,Hadur,,
נָאֶה,"Bello,",na'eh,,
זִיו הָעוֹלָם.,resplandor [del] mundo.,ziv ha-olam,,
נַפְשִׁי,Mi alma,nafshi,,
חוֹלַת,está enferma [de],jolat,,
אַהֲבָתֶֽךָ.,Tu amor.,ahavateja,,
אָֽנָּא,Por favor,ana,,
אֵל,Dios,El,,
נָא,por favor,na,,
רְפָא,sana,refa,,
נָא,por favor,na,,
לָהּ.,[a] ella.,lah,,
בְּהַרְאוֹת לָהּ,al mostrarle,be-har'ot lah,,
נֹֽעַם זִיוֶֽךָ.,la dulzura [de] Tu resplandor.,noam ziveja,,
אָז,Entonces,az,,
תִּתְחַזֵּק,se fortalecerá,titjazek,,
וְתִתְרַפֵּא.,y será sanada.,ve-titrapei,,
וְהָיְ֒תָה,y será,ve-hayeta,,
לָהּ,para ella,lah,,
שִׂמְחַת עוֹלָם:,alegría eterna:,simjat olam,,
,,,break,
וָתִיק,Antiguo,Vatik,,
יֶהֱמוּ,se conmoverán,yehemu,,
נָא,por favor,na,,
רַחֲמֶֽיךָ,Tus misericordias,rajameja,,
וְחֽוּסָה,y ten piedad,ve-jusa,,
נָא,por favor,na,,
עַל בֵּן,[de] hijo,al ben,,
אֲהוּבֶֽךָ.,Tu amado.,ahuveja,,
כִּי,Pues,ki,,
זֶה כַּמָּה,desde hace tanto,zeh kama,,
נִכְסוֹף נִכְסַפְתִּי,he anhelado intensamente,nijsof nijsafti,,
לִרְאוֹת,ver,lirot,,
מְהֵרָה,pronto,mehera,,
בְּתִפְאֶֽרֶת עֻזֶּֽךָ.,[la] gloria [de] Tu fuerza.,be-tiferet uzeja,,
אֵֽלֶּה,Esto,eleh,,
חָמְ֒דָה,ha deseado,jamda,,
לִבִּי,mi corazón,libi,,
וְחֽוּסָה,y ten piedad,ve-jusa,,
נָא,por favor,na,,
וְאַל,y no,ve-al,,
תִּתְעַלֵּם:,te ocultes:,tit'alem,,
,,,break,
הִגָּלֶה,Revélate,higaleh,,
נָּא,por favor,na,,
וּפְרוֹס,y extiende,u-fros,,
חֲבִיבִי,mi Amado,javivi,,
עָלַי,sobre mí,alai,,
אֶת סֻכַּת,[la] morada [de],et sukkat,,
שְׁלוֹמֶֽךָ.,Tu paz.,shelomeja,,
תָּאִיר,Ilumina,ta'ir,,
אֶֽרֶץ,[la] tierra,eretz,,
מִכְּ֒בוֹדֶֽךָ.,con Tu gloria.,mi-kevodeja,,
נָגִֽילָה,regocijémonos,nagila,,
וְנִשְׂמְ֒חָה,y alegrémonos,ve-nismeja,,
בָּךְ.,en Ti.,baj,,
מַהֵר,Apresúrate,maher,,
אֶהֹב,Amado,ehov,,
כִּי,pues,ki,,
בָא,ha llegado,va,,
מוֹעֵד,[el] tiempo,mo'ed,,
וְחָנֵּֽנוּ,y concédenos gracia,ve-janenu,,
כִּימֵי,como [en] los días,kimei,,
עוֹלָם:,antiguos:,olam,,
