original,translation,phonetics,format,notes
MIZMOR 95,SALMO 95,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"En Yom Tov que cae en Shabat, y en Shabat de Jol HaMoed, se comienza con Mizmor leDavid.",,,intro,
לְכוּ,"Vengan,",leju,,
נְרַנְּנָה לַיהֹוָה,cantemos con alegria a Adonai;,neranenah la-Adonai,,
נָרִֽיעָה,aclamemos,nariah,,
לְצוּר יִשְׁעֵֽנוּ:,a la Roca de nuestra salvacion.,letzur yishenu,,
נְקַדְּמָה פָנָיו בְּתוֹדָה,Presentemonos ante Su rostro con gratitud;,nekademah fanav betodah,,
בִּזְמִרוֹת,con cantos,bizmirot,,
נָרִֽיעַ לוֹ:,aclamemos ante El.,naria lo,,
כִּי,Porque,ki,,
אֵל גָּדוֹל יְהֹוָה,"Adonai [es] un Dios grande,",El gadol Adonai,,
וּמֶֽלֶךְ גָּדוֹל,y un Rey grande,u-melej gadol,,
עַל־כָּל־אֱלֹהִים:,sobre todos los poderes.,al kol elohim,,
אֲשֶׁר בְּיָדוֹ,[El] en cuya mano,asher beyado,,
מֶחְקְרֵי־אָֽרֶץ,"[estan] las profundidades de la tierra,",mejkerei aretz,,
וְתוֹעֲפוֹת הָרִים לוֹ:,y las alturas de los montes [son] Suyas.,ve-toafot harim lo,,
אֲשֶׁר־לוֹ הַיָּם,"Suyo [es] el mar,",asher lo hayam,,
וְהוּא עָשָֽׂהוּ,y El lo hizo;,ve-hu asahu,,
וְיַבֶּֽשֶׁת,"y la tierra seca,",ve-yabeshet,,
יָדָיו יָצָֽרוּ:,Sus manos la formaron.,yadav yatzaru,,
בֹּֽאוּ,"Entren,",bou,,
נִשְׁתַּחֲוֶה וְנִכְרָֽעָה,postremonos e inclinemonos;,nishtajaveh ve-nijraah,,
נִבְרְכָה,arrodillemonos,nivrajah,,
לִפְנֵי־יְהֹוָה עֹשֵֽׂנוּ:,"ante Adonai, nuestro Hacedor.",lifnei Adonai osenu,,
כִּי הוּא אֱלֹהֵֽינוּ,"Porque El [es] nuestro Dios,",ki hu Eloheinu,,
וַאֲנַֽחְנוּ עַם מַרְעִיתוֹ,y nosotros [somos] el pueblo de Su pastoreo,va-anajnu am mar'ito,,
וְצֹאן יָדוֹ,y el rebanio de Su mano;,ve-tzon yado,,
הַיּוֹם,"hoy,",hayom,,
אִם־בְּקֹלוֹ תִשְׁמָֽעוּ:,si escuchan Su voz.,im be-kolo tishmau,,
אַל־תַּקְשׁוּ לְבַבְכֶם,No endurezcan su corazon,al takshu levavjem,,
כִּמְרִיבָה,"como en Meriva,",ki-Merivah,,
כְּיוֹם מַסָּה בַּמִּדְבָּר:,como el dia de Masa en el desierto.,ke-yom Masah ba-midbar,,
אֲשֶׁר נִסּֽוּנִי אֲבוֹתֵיכֶם,"cuando Me probaron sus padres,",asher nisuni avoteijem,,
בְּחָנֽוּנִי,"Me examinaron,",bejanuni,,
גַּם־רָאוּ פָעֳלִי:,aunque vieron Mi obra.,gam rau paoli,,
אַרְבָּעִים שָׁנָה,Cuarenta anios,arbaim shanah,,
אָקוּט בְּדוֹר,"estuve disgustado con [esa] generacion,",akut be-dor,,
וָאֹמַר,y dije:,va-omar,,
עַם,un pueblo,am,,
תֹּעֵי לֵבָב הֵם,"de corazon extraviado [son] ellos,",toei levav hem,,
וְהֵם לֹא־יָדְעוּ דְרָכָי:,y ellos no conocieron Mis caminos.,ve-hem lo yadeu derajai,,
אֲשֶׁר־נִשְׁבַּֽעְתִּי בְאַפִּי,Por eso jure en Mi ira:,asher nishbati ve-api,,
אִם־יְבֹאוּן אֶל־מְנוּחָתִי:,no entraran en Mi descanso.,im yevo-un el menujati,,
