original,translation,phonetics,format,notes
ANA BEKOACH,ANA BEKOACH,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
אָנָּא,"Por favor,",ana,,
בְּכֹֽחַ גְּדֻלַּת יְמִינְ֒ךָ,"con la fuerza de la grandeza de Tu diestra,",be-joaj gedulat yemineja,,
תַּתִּיר צְרוּרָה:,desata [a la] atada.,tatir tzerurah,,
קַבֵּל רִנַּת עַמְּ֒ךָ,Recibe el canto de Tu pueblo;,kabel rinat ameja,,
שַׂגְּ֒בֵֽנוּ,"fortalecenos,",sagevenu,,
טַהֲרֵֽנוּ נוֹרָא:,"purificanos, Temible.",taharenu nora,,
נָא גִבּוֹר,"Por favor, Poderoso,",na gibor,,
דּוֹרְ֒שֵׁי יִחוּדְ֒ךָ,a los que buscan Tu unidad,dorshei yijudeja,,
כְּבָבַת שָׁמְרֵם:,"como la pupila [del ojo], guardalos.",ke-vavat shamrem,,
בָּרְ֒כֵם,"Bendicelos,",barjem,,
טַהֲרֵם,purificalos;,taharem,,
רַחֲמֵם צִדְקָתְ֒ךָ,[con] la misericordia de Tu justicia,rajamei tzidkateja,,
תָּמִיד גָּמְלֵם:,siempre retribuyeles.,tamid gomlem,,
חֲסִין קָדוֹשׁ,"Fuerte y Santo,",jasin kadosh,,
בְּרֹב טוּבְ֒ךָ,"con la abundancia de Tu bondad,",be-rov tuveja,,
נַהֵל עֲדָתֶֽךָ:,guia a Tu congregacion.,nahel adateja,,
יָחִיד גֵּאֶה,"Unico y exaltado,",yajid ge-eh,,
"לְעַמְּ֒ךָ פְּנֵה,","vuelve [Tu rostro] hacia Tu pueblo,",le-ameja peneh,,
זוֹכְ֒רֵי קְדֻשָּׁתֶֽךָ:,los que recuerdan Tu santidad.,zojrei kedushateja,,
שַׁוְעָתֵֽנוּ קַבֵּל,"Recibe nuestro clamor,",shavateinu kabel,,
וּשְׁמַע צַעֲקָתֵֽנוּ,"y escucha nuestro grito,",u-shema tzaakatenu,,
יוֹדֵֽעַ תַּעֲלוּמוֹת:,[Tu que] conoces los secretos.,yodea taalumot,,
בָּרוּךְ,Bendito [sea],baruj,,
שֵׁם כְּבוֹד מַלְכוּתוֹ,el Nombre de la gloria de Su reino,shem kevod maljuto,,
לְעוֹלָם וָעֶד:,por siempre jamas.,le-olam va-ed,,
