original,translation,phonetics,format,notes
KADDISH DERABBANAN,KADDISH DERABBANAN,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יִתְגַּדַּל,Sea engrandecido,yitgadal,,
וְיִתְקַדַּשׁ,y sea santificado,ve-yitkadash,,
שְׁמֵהּ רַבָּא,Su gran Nombre,shemeh raba,,
(אָמֵן),[amen].,(amen),,
,,,break,
בְּעָלְ֒מָֽא,en el mundo,be-alma,,
דִּי־בְרָא כִרְעוּתֵהּ,que creo segun Su voluntad,di vera ji-ruteh,,
וְיַמְלִיךְ מַלְכוּתֵהּ,y haga reinar Su reino,ve-yamlij maljuteh,,
בְּחַיֵּיכוֹן וּבְיוֹמֵיכוֹן,en sus vidas y en sus dias,be-jayeijon u-ve-yomeijon,,
וּבְחַיֵּי דְכָל־בֵּית יִשְׂרָאֵל,y en la vida de toda la casa de Israel,u-ve-jayei de-jol beit Yisrael,,
בַּעֲגָלָא וּבִזְמַן קָרִיב,pronto y en tiempo cercano,ba-agala u-vizman kariv,,
וְאִמְרוּ אָמֵן:,y digan: amen.,ve-imru amen,,
,,,break,
יְהֵא שְׁמֵהּ רַבָּא,Sea Su gran Nombre,yehe shemeh raba,,
מְבָרַךְ,bendito,mevaraj,,
לְעָלַם וּלְעָלְ֒מֵי עָלְ֒מַיָּא,por siempre y por los siglos de los siglos.,le-alam u-le-almei almayah,,
,,,break,
יִתְבָּרַךְ,"Sea bendito,",yitbaraj,,
וְיִשְׁתַּבַּח,"y alabado,",ve-yishtabaj,,
וְיִתְפָּאַר,"y glorificado,",ve-yitpaar,,
וְיִתְרוֹמַם,"y exaltado,",ve-yitromam,,
וְיִתְנַשֵּׂא,"y elevado,",ve-yitnase,,
וְיִתְהַדָּר,"y honrado,",ve-yithadar,,
וְיִתְעַלֶּה,"y enaltecido,",ve-yitale,,
וְיִתְהַלָּל,y loado,ve-yithalal,,
שְׁמֵהּ דְקוּדְשָׁא,"el Nombre del Santo,",shemeh de-kudesha,,
בְּרִיךְ הוּא,bendito sea El.,berij hu,,
,,,break,
לְעֵֽלָּא,por encima,le-ela,,
מִן־כָּל־,de todo,min kol (be-aseret yemei teshuvah le-ela le-ela mi-kol),,
"(בעשי""ת",[en los diez dias de penitencia:],(be-aseret yemei teshuvah,,
לְעֵֽלָּא לְעֵֽלָּא מִכָּל),"por encima, por encima de todo]",le-ela le-ela mi-kol),,
בִּרְכָתָֽא,bendicion,birjata,,
וְשִׁירָתָֽא,y canto,ve-shirata,,
תֻּשְׁבְּ֒חָתָֽא,alabanza,tushbejata,,
וְנֶחָמָתָֽא,y consuelo,ve-nejemata,,
דַּאֲמִירָן בְּעָלְ֒מָֽא,que son dichos en el mundo,da-amiran be-alma,,
וְאִמְרוּ אָמֵן:,y digan: amen.,ve-imru amen,,
,,,break,
עַל יִשְׂרָאֵל,Sobre Israel,al Yisrael,,
וְעַל רַבָּנָן,y sobre los maestros,ve-al rabanan,,
וְעַל תַלְמִידֵיהוֹן,y sobre sus discipulos,ve-al talmideihon,,
וְעַל כָּל,y sobre todos,ve-al kol,,
תַּלְמִידֵי תַלְמִידֵיהוֹן.,los discipulos de sus discipulos.,talmidei talmideihon,,
וְעַל כָּל מָאן,Y sobre todos los que,ve-al kol man,,
דְּעָסְ֒קִין בְּאוֹרַיְתָא.,se ocupan de la Tora.,de-askin be-oraita,,
דִּי בְאַתְרָא הָדֵין,Que [estan] en este lugar,di ve-atra hadein,,
וְדִי בְכָל,y que [estan] en todo,ve-di ve-jol,,
אֲתַר וַאֲתַר.,lugar y lugar.,atar va-atar,,
יְהֵא לְהוֹן וּלְכוֹן,Haya para ellos y para ustedes,yehe lehon u-lejon,,
שְׁלָמָא רַבָּא,"gran paz,",shelama raba,,
חִנָּא,"gracia,",jina,,
וְחִסְדָּא,"bondad,",ve-jisda,,
וְרַחֲמִין,"misericordia,",ve-rajamin,,
וְחַיִּין אֲרִיכִין,"vida larga,",ve-jayin arijin,,
וּמְזוֹנָא רְוִיחֵי,"sustento amplio,",u-mezona revijei,,
וּפוּרְקָנָא,y redencion,u-furkanah,,
מִן קֳדָם,de delante,min kodam,,
אֲבוּהוֹן דְבִשְׁמַיָּא (וְאַרְעָא),"de su Padre que [esta] en los cielos [y la tierra],",avuhon de-vi-shmaya (ve-ara),,
וְאִמְרוּ אָמֵן:,y digan: amen.,ve-imru amen,,
,,,break,
יְהֵא שְׁלָמָֽא רַבָּֽא,Haya gran paz,yehe shelama raba,,
מִן־שְׁמַיָּֽא,"desde los cielos,",min shmaya,,
וְחַיִּים,y vida,ve-jayim,,
עָלֵֽינוּ,sobre nosotros,aleinu,,
וְעַל־כָּל־יִשְׂרָאֵל,y sobre todo Israel,ve-al kol Yisrael,,
וְאִמְרוּ אָמֵן:,y digan: amen.,ve-imru amen,,
,,,break,
עוֹשֶׂה שָׁלוֹם,[El] que hace paz,oseh shalom,,
"(בעשי""ת הַשָּׁלוֹם)",[en los diez dias de penitencia: la paz],(be-aseret yemei teshuvah ha-shalom),,
בִּמְרוֹמָיו,"en Sus alturas,",bi-meromav,,
הוּא,El,hu,,
יַעֲשֶׂה שָׁלוֹם עָלֵֽינוּ,haga paz sobre nosotros,yaaseh shalom aleinu,,
וְעַל כָּל יִשְׂרָאֵל,y sobre todo Israel,ve-al kol Yisrael,,
וְאִמְרוּ אָמֵן:,y digan: amen.,ve-imru amen,,
