original,translation,phonetics,format,notes
מִזְמוֹר כ״ט,SALMO 29,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
מִזְמוֹר,[Un] salmo,mizmor,,
לְדָוִד,de David.,ledavid,,
הָבוּ,Atribuyan,havú,,
לַיהֹוָה,"a Adonai,",la-Adonai,,
בְּנֵי,hijos de,benéi,,
אֵלִים,poderosos;,elim,,
הָבוּ,atribuyan,havú,,
לַיהֹוָה,a Adonai,la-Adonai,,
כָּבוֹד,gloria,kavod,,
וָעֹז:,y fuerza.,vaoz:,,
הָבוּ,Atribuyan,havú,,
לַיהֹוָה,a Adonai,la-Adonai,,
כְּבוֹד,[la] gloria de,kevod,,
שְׁמוֹ,Su Nombre;,shemó,,
הִשְׁתַּחֲווּ,póstrense,hishtajavú,,
לַיהֹוָה,ante Adonai,la-Adonai,,
בְּהַדְרַת־קֹֽדֶשׁ:,en [el] esplendor de [la] santidad.,behadrat-kódesh:,,
קוֹל,La voz de,kol,,
יְהֹוָה,Adonai,Adonai,,
עַל־הַמָּֽיִם,[está] sobre las aguas;,al-hamáyim,,
אֵל־הַכָּבוֹד,el Dios de gloria,el-hakavod,,
הִרְעִים,tronó;,hirim,,
יְהֹוָה,Adonai [está],Adonai,,
עַל־מַֽיִם,sobre aguas,al-máyim,,
רַבִּים:,abundantes.,rabim:,,
קוֹל־יְהֹוָה,La voz de Adonai,kol-Adonai,,
בַּכֹּֽחַ,[resuena] con poder;,bakoja,,
קוֹל,la voz de,kol,,
יְהֹוָה,Adonai,Adonai,,
בֶּהָדָר:,con majestad.,behadar:,,
קוֹל,La voz de,kol,,
יְהֹוָה,Adonai,Adonai,,
שֹׁבֵר,quiebra,shover,,
אֲרָזִים,cedros;,arazim,,
וַיְשַׁבֵּר,y quebrará,vayshaber,,
יְהֹוָה,Adonai,Adonai,,
אֶת־אַרְזֵי,[los] cedros de,et-arzéi,,
הַלְּבָנוֹן:,el Líbano.,halevanón:,,
וַיַּרְקִידֵם,Hizo saltar,vayarkidem,,
כְּמוֹ־עֵֽגֶל,como [un] becerro,kemó-égel,,
לְבָנוֹן,[al] Líbano,levanón,,
וְשִׂרְיוֹן,"y [al] Sirión,",vesiryón,,
כְּמוֹ,como,kemó,,
בֶן־רְאֵמִים:,cría de toros salvajes.,ven-reemim:,,
קוֹל־יְהֹוָה,La voz de Adonai,kol-Adonai,,
חֹצֵב,talla,jotzev,,
לַהֲבוֹת,llamas de,lahavot,,
אֵשׁ:,fuego.,esh:,,
קוֹל,La voz de,kol,,
יְהֹוָה,Adonai,Adonai,,
יָחִיל,hace temblar,yajil,,
מִדְבָּר,[el] desierto;,midbar,,
יָחִיל,hace temblar,yajil,,
יְהֹוָה,Adonai,Adonai,,
מִדְבַּר,[el] desierto de,midbar,,
קָדֵשׁ:,Kadesh.,kadesh:,,
קוֹל,La voz de,kol,,
יְהֹוָה,Adonai,Adonai,,
יְחוֹלֵל,hace parir,yejolel,,
אַיָּלוֹת,a [las] ciervas,ayalot,,
וַיֶּחֱשׂף,y desnuda,vayejesf,,
יְעָרוֹת,bosques;,yearot,,
וּבְהֵיכָלוֹ,y en Su Templo,uveheijaló,,
כֻּלּוֹ,todo,kuló,,
אֹמֵר,proclama:,omer,,
כָּבוֹד:,«¡Gloria!».,kavod:,,
יְהֹוָה,Adonai,Adonai,,
לַמַּבּוּל,sobre el diluvio,lamabul,,
יָשָׁב,se sentó [entronizado];,yashav,,
וַיֵּֽשֶׁב,y se sentará,vayéshev,,
יְהֹוָה,Adonai,Adonai,,
מֶֽלֶךְ,[como] Rey,mélej,,
לְעוֹלָם:,por siempre.,leolam:,,
יְהֹוָה,Adonai,Adonai,,
עֹז,fuerza,oz,,
לְעַמּוֹ,a Su pueblo,leamó,,
יִתֵּן,dará;,yitén,,
יְהֹוָה,Adonai,Adonai,,
יְבָרֵךְ,bendecirá,yevarej,,
אֶת־עַמּוֹ,a Su pueblo,et-amó,,
בַשָּׁלוֹם:,con paz.,vashalom:,,
