original,translation,phonetics,format,notes
לְכָה דוֹדִי,LEJÁ DODÍ,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
שָׁמוֹר,«Guarda»,shamor,,
וְזָכוֹר,y «recuerda»,vezajor,,
בְּדִבּוּר,en [una] palabra,bedibur,,
אֶחָד.,"una,",ejad.,,
הִשְׁמִיעָֽנוּ,nos hizo oír,hishmianu,,
אֵל,[el] Dios,el,,
הַמְיוּחָד.,único.,hamyujad.,,
יְהֹוָה,Adonai,Adonai,,
אֶחָד,[es] Uno,ejad,,
וּשְׁמוֹ,y Su Nombre,ushemó,,
אֶחָד.,"[es] uno,",ejad.,,
לְשֵׁם,"para renombre,",leshem,,
וּלְתִפְאֶֽרֶת,para gloria,uletiféret,,
וְלִתְהִלָּה:,y para alabanza.,velithilá:,,
,,,break,
לְכָה,"Ven,",lejá,,
דוֹדִי,"amado mío,",dodí,,
לִקְרַאת,al encuentro de,likrat,,
כַּלָּה.,[la] novia;,kalá.,,
פְּנֵי,[la] presencia de,penéi,,
שַׁבָּת,el Shabat,shabat,,
נְקַבְּ֒לָה:,recibamos.,nekabela:,,
,,,break,
לִקְרַאת,Al encuentro de,likrat,,
שַׁבָּת,"el Shabat,",shabat,,
לְכוּ,vengan,lejú,,
