original,translation,phonetics,format,notes
קַדִּישׁ יָתוֹם,KADISH DE LOS DOLIENTES,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יִתְגַּדַּל,Sea engrandecido,yitgadal,,
וְיִתְקַדַּשׁ,y santificado,veyitkadash,,
שְׁמֵהּ,Su Nombre,shemeh,,
רַבָּא,grande,rabá,,
(אָמֵן),(amén),(amén),,
בְּעָלְ֒מָֽא,en el mundo,beolmá,,
דִּי־בְרָא,que [Él] creó,di-verá,,
כִרְעוּתֵהּ,conforme a Su voluntad;,jiruteh,,
וְיַמְלִיךְ,y haga reinar,veyamlij,,
מַלְכוּתֵהּ,Su reino,maljuteh,,
בְּחַיֵּיכוֹן,en sus vidas,bejayeijón,,
וּבְיוֹמֵיכוֹן,"y en sus días,",uveyomeijón,,
וּבְחַיֵּי,y en vida de,uvejayéi,,
דְכָל־בֵּית,toda [la] Casa,dejol-beit,,
יִשְׂרָאֵל,"de Israel,",yisrael,,
בַּעֲגָלָא,prontamente,baagalá,,
וּבִזְמַן,y en tiempo,uvizmán,,
קָרִיב,"cercano,",kariv,,
וְאִמְרוּ,y digan:,veimrú,,
אָמֵן:,amén.,amén:,,
,,,break,
יְהֵא,Sea,yehé,,
שְׁמֵהּ,Su Nombre,shemeh,,
רַבָּא,grande,rabá,,
מְבָרַךְ,bendito,mevaraj,,
לְעָלַם,por siempre,lealam,,
וּלְעָלְ֒מֵי,y por eternidades de,uleolmei,,
עָלְ֒מַיָּא,eternidades.,ólmaya,,
,,,break,
