original,translation,phonetics,format,notes
תְּהִלִּים מט / TEHILIM 49,,,part,
מט א,,,verse,
לַמְנַצֵּחַ,Para el director,la-menatzeaj,,
לִבְנֵי קֹרַח,para los hijos de Koraj,livnei Koraj,,
מִזְמוֹר,un salmo,mizmor,,
מט ב,,,verse,
שִׁמְעוּ זֹאת,Escuchen esto,shim'u zot,,
כָּל הָעַמִּים,todos los pueblos,jol ha-amim,,
הַאֲזִינוּ,presten oído,ha'azinu,,
כָּל יֹשְׁבֵי חָלֶד,todos los habitantes del mundo,jol yoshvei jaled,,
מט ג,,,verse,
גַּם בְּנֵי אָדָם,Tanto hijos de gente sencilla,gam benei adam,,
גַּם בְּנֵי אִישׁ,como hijos de personas distinguidas,gam benei ish,,
יַחַד עָשִׁיר וְאֶבְיוֹן,juntos rico y pobre,yajad ashir ve-evyon,,
מט ד,,,verse,
פִּי יְדַבֵּר חָכְמוֹת,Mi boca hablará sabidurías,pi yedaber jojmot,,
וְהָגוּת לִבִּי תְבוּנוֹת,y la meditación de mi corazón entendimientos,ve-hagut libi tevunot,,
מט ה,,,verse,
אַטֶּה לְמָשָׁל אָזְנִי,Inclinaré mi oído a una parábola,ate le-mashal ozni,,
אֶפְתַּח בְּכִנּוֹר חִידָתִי,abriré con arpa mi enigma,eftaj be-jinor jidati,,
מט ו,,,verse,
לָמָּה אִירָא,¿Por qué temeré?,lama ira,,
בִּימֵי רָע,en días de mal,bimei ra,,
עֲוֹן עֲקֵבַי יְסוּבֵּנִי,cuando la culpa de mis talones me rodee,avon akevai yesubeni,,
מט ז,,,verse,
הַבֹּטְחִים עַל חֵילָם,Los que confían en su riqueza,ha-botjim al jeilam,,
וּבְרֹב עָשְׁרָם יִתְהַלָּלוּ,y se glorían en la abundancia de su fortuna,u-verov oshram yithalalu,,
מט ח,,,verse,
אָח לֹא פָדֹה יִפְדֶּה אִישׁ,ciertamente nadie redimirá a [otro] hombre,aj lo fado yifde ish,,
לֹא יִתֵּן לֵאלֹהִים כָּפְרוֹ,ni dará a Dios su rescate,lo yiten le-Elohim kofro,,
