original,translation,phonetics,format,notes
אָנָּא יְיָ מָלֵא רַחֲמִים / ANA ADONAI MALE RAJAMIM,,,part,
תְּפִלָּה עַל הַנִּפְטֶרֶת לְאַחַר הַלִּמּוּד,,,intro,
אָנָּא יְיָ,Por favor Adonai,ana Adonai,,
מָלֵא רַחֲמִים,lleno de misericordia,male rajamim,,
אֲשֶׁר בְּיָדְךָ,en cuya mano,asher be-yadeja,,
נֶפֶשׁ כָּל חָי,[está] el alma de todo viviente,nefesh kol jai,,
וְרוּחַ כָּל בְּשַׂר אִישׁ,y el espíritu de toda carne humana,ve-ruaj kol besar ish,,
יִהְיוּ נָא לְרָצוֹן,que sean por favor aceptadas,yihyu na le-ratzon,,
לְפָנֶיךָ,ante Ti,le-faneja,,
תּוֹרָתֵנוּ וּתְפִלָּתֵנוּ,nuestra Torá y nuestra plegaria,toratenu u-tefilatenu,,
בַּעֲבוּר נִשְׁמַת,por el alma de,ba'avur nishmat,,
רִבְקָה בַּת מֹשֶׁה,Rivka hija de Moshe,Rivka bat Moshe,,
וּגְמוֹל נָא עִמָּהּ,y retribuye por favor con ella,u-gemol na imah,,
בְּחַסְדְּךָ הַגָּדוֹל,con Tu gran bondad,be-jasdeja ha-gadol,,
לִפְתּוֹחַ לָהּ,abriéndole,liftoaj lah,,
שַׁעֲרֵי רַחֲמִים וָחֶסֶד,portones de misericordia y bondad,sha'arei rajamim va-jesed,,
וְשַׁעֲרֵי גַן עֵדֶן,y portones del Jardín del Edén,ve-sha'arei Gan Eden,,
וּתְקַבֵּל אוֹתָהּ,y recíbela,u-tekabel otah,,
בְּאַהֲבָה וּבְחִבָּה,con amor y cariño,be-ahavah u-ve-jibah,,
וּשְׁלַח לָהּ,y envíale,u-shlaj lah,,
מַלְאָכֶיךָ הַקְּדוֹשִׁים,Tus ángeles santos,mal'ajeja ha-kedoshim,,
וְהַטְּהוֹרִים,y puros,ve-ha-tehorim,,
לְהוֹלִיכָהּ,para conducirla,le-holijah,,
וּלְהוֹשִׁיבָהּ,y hacerla sentar,u-le-hoshibah,,
תַּחַת עֵץ הַחַיִּים,bajo el Árbol de la Vida,tajat etz ha-jayim,,
אֵצֶל נִשְׁמוֹת הַצַּדִּיקִים,junto a las almas de los justos,etzel nishmot ha-tzadikim,,
וְהַצִּדְקָנִיּוֹת,y las justas,ve-ha-tzidkaniyot,,
חֲסִידִים וַחֲסִידוֹת,piadosos y piadosas,jasidim va-jasidot,,
לֵהָנוֹת מִזִּיו שְׁכִינָתְךָ,para gozar del resplandor de Tu Shejiná,le-hanot mi-ziv Shejinateja,,
לְהַשְׂבִּיעָהּ מִטּוּבְךָ הַצָּפוּן,para saciarla de Tu bien oculto,le-hasbi'ah mi-tuveja ha-tzafun,,
לַצַּדִּיקִים,para los justos,la-tzadikim,,
וְהַגּוּף יָנוּחַ בַּקֶּבֶר,y que el cuerpo descanse en la tumba,ve-ha-guf yanuaj ba-kever,,
בִּמְנוּחָה נְכוֹנָה,en reposo adecuado,bi-menujah nejonah,,
בְּחֶדְוָה וּבְשִׂמְחָה וְשָׁלוֹם,con alegría regocijo y paz,be-jedvah u-ve-simjah ve-shalom,,
כְּדִכְתִיב,como está escrito,ke-dijtiv,,
יָבֹא שָׁלוֹם,Que venga paz,yavo shalom,,
יָנוּחוּ עַל מִשְׁכְּבֹתָם,descansen sobre sus lechos,yanuju al mishkevotam,,
הוֹלֵךְ נְכוֹחוֹ,quien anda rectamente,holej nejojo,,
וּכְתִיב,y está escrito,u-jetiv,,
יַעְלְזוּ חֲסִידִים בְּכָבוֹד,Se alegrarán los piadosos con honor,ya'alezu jasidim be-javod,,
